number,name,active,category,family,n_parameters,parameter_names,recommended_tests,material_classes,application_tags,complexity_level,preferred_optimizer,notes,calibration_notes,limitation_notes,source_equation_status
1,2 term Mooney-Rivlin,True,Invariant polynomial / Mooney-Rivlin family,Mooney-Rivlin polynomial,2,"C10, C01","uniaxial, biaxial, planar",rubber-like elastomer,"baseline, low-order, moderate strain",1,recommended_adaptive_bounds,Good low-order baseline. Use at least two deformation modes when possible.,Good low-order baseline. Use at least two deformation modes when possible.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
2,3 term Mooney-Rivlin,True,Invariant polynomial / Mooney-Rivlin family,Mooney-Rivlin polynomial,3,"C10, C01, C11","uniaxial, biaxial, planar",rubber-like elastomer,"interaction term, moderate strain",2,recommended_adaptive_bounds,Adds I1-I2 coupling; avoid uniaxial-only calibration.,Adds I1-I2 coupling; avoid uniaxial-only calibration.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
3,5 term Mooney-Rivlin,True,Invariant polynomial / Mooney-Rivlin family,Mooney-Rivlin polynomial,4,"C10, C01, C20, C11","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"higher order, moderate/high strain",3,recommended_adaptive_bounds,Higher-order polynomial; stability scan is important outside calibration range.,Higher-order polynomial; stability scan is important outside calibration range.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
4,9 term Mooney-Rivlin,True,Invariant polynomial / Mooney-Rivlin family,Mooney-Rivlin polynomial,5,"C10, C01, C20, C30, C11","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"source-table variant, higher order",3,recommended_adaptive_bounds,Image row named 9-term; implemented exactly as supplied active-coefficient table variant.,Image row named 9-term; implemented exactly as supplied active-coefficient table variant.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
5,Third degree polynomial,True,Invariant polynomial / general polynomial,Third-degree polynomial,7,"C10, C01, C11, C20, C02, C21, C12","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"many parameters, overfit risk",4,recommended_adaptive_bounds,Many-parameter polynomial; use multi-mode data and overfitting checks.,Many-parameter polynomial; use multi-mode data and overfitting checks.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
6,Neo-Hookean,True,Neo-Hookean / one-parameter network,Neo-Hookean baseline,1,mu,"uniaxial, biaxial, planar","rubber-like elastomer, soft tissue first-pass","baseline, small/moderate strain",1,recommended_adaptive_bounds,Best first baseline and sanity check; one parameter only.,Best first baseline and sanity check; one parameter only.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
7,2 term Yeoh,True,Reduced polynomial / Yeoh family,Yeoh reduced polynomial,2,"C10, C20","uniaxial, biaxial, planar","filled rubber, rubber-like elastomer","I1-only, filled rubber candidate",2,recommended_adaptive_bounds,"Can fit uniaxial well, but biaxial/planar are needed for transferability.","Can fit uniaxial well, but biaxial/planar are needed for transferability.",Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
8,3 term Yeoh,True,Reduced polynomial / Yeoh family,Yeoh reduced polynomial,3,"C10, C20, C30","uniaxial, biaxial, planar, simple_shear","filled rubber, rubber-like elastomer","I1-only, high strain",3,recommended_adaptive_bounds,Use multi-mode data; high-order coefficients can overfit.,Use multi-mode data; high-order coefficients can overfit.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
9,5 term Yeoh,True,Reduced polynomial / Yeoh family,Yeoh reduced polynomial,5,"C10, C20, C30, C40, C50","uniaxial, biaxial, planar, simple_shear","filled rubber, rubber-like elastomer","many parameters, overfit risk",5,recommended_adaptive_bounds,Five-term Yeoh is flexible but not recommended with sparse data.,Five-term Yeoh is flexible but not recommended with sparse data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
10,5 term Arruda-Boyce,True,Network / finite chain extensibility,Arruda-Boyce,2,"mu, lambda_L","uniaxial, biaxial, planar","rubber-like elastomer, network elastomer","limiting chain stretch, physical network",2,recommended_adaptive_bounds,lambda_L should be constrained by maximum test stretch; good physical finite-chain model.,lambda_L should be constrained by maximum test stretch; good physical finite-chain model.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
11,Gent,True,Network / finite chain extensibility,Gent,2,"mu, I_L","uniaxial, biaxial, planar",rubber-like elastomer,"limiting I1, strain stiffening",2,recommended_adaptive_bounds,I_L must exceed the maximum sampled I1. Strongly penalized near the singularity.,I_L must exceed the maximum sampled I1. Strongly penalized near the singularity.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
12,2 term Ogden,True,Principal-stretch / Ogden family,Ogden spectral,4,"mu1, alpha1, mu2, alpha2","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"spectral, compression/tension capable",4,recommended_adaptive_bounds,Ogden parameters are not uniquely identifiable from uniaxial-only data.,Ogden parameters are not uniquely identifiable from uniaxial-only data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
13,3 term Ogden,True,Principal-stretch / Ogden family,Ogden spectral,6,"mu1, alpha1, mu2, alpha2, mu3, alpha3","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"spectral, many parameters, high flexibility",5,recommended_adaptive_bounds,Three-term Ogden needs broad multi-mode data and regularization/selection checks.,Three-term Ogden needs broad multi-mode data and regularization/selection checks.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
14,Veronda-Westmann,True,Exponential / soft-tissue type,Veronda-Westmann,3,"C1, alpha, C2","uniaxial, biaxial, planar","soft tissue, rubber-like elastomer",exponential stiffening,2,recommended_adaptive_bounds,Exponential models can overflow; keep parameter bounds physically modest.,Exponential models can overflow; keep parameter bounds physically modest.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
15,Humphrey-Yin,True,Exponential / soft-tissue type,Humphrey-Yin,2,"C1, C2","uniaxial, biaxial, planar",soft tissue,I1 exponential,2,recommended_adaptive_bounds,Best used for strain-stiffening soft tissue style data.,Best used for strain-stiffening soft tissue style data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
16,Hart-Smith,True,Exponential / Hart-Smith family,Hart-Smith,3,"C1, C2, C3","uniaxial, biaxial, planar","rubber-like elastomer, soft tissue","exponential, I2 log",3,recommended_adaptive_bounds,C3 controls exponential stiffening; use stability scan after fit.,C3 controls exponential stiffening; use stability scan after fit.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
17,Peng-Landel,True,Principal-stretch / logarithmic spectral,Peng-Landel,1,C1,"uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"principal stretch, log strain series",2,recommended_adaptive_bounds,Single scale parameter; good spectral comparison model.,Single scale parameter; good spectral comparison model.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
18,Knowles,True,Network / generalized finite extensibility,Knowles,3,"mu, b, n","uniaxial, biaxial, planar",rubber-like elastomer,"power law, finite extensibility",3,recommended_adaptive_bounds,n and b may be correlated; use adaptive bounds.,n and b may be correlated; use adaptive bounds.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
19,Martins,True,Fiber-influenced / exponential anisotropic approximation,Martins,4,"C1, C2, C3, C4","uniaxial, biaxial, planar","soft tissue, fiber-reinforced approximation","fiber stretch proxy, exponential",4,recommended_adaptive_bounds,lambda_f is approximated internally as max principal stretch; true anisotropic fiber direction is not yet modeled.,lambda_f is approximated internally as max principal stretch; true anisotropic fiber direction is not yet modeled.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
20,Pucci-Saccomandi,True,Network / finite extensibility with I2 correction,Pucci-Saccomandi,3,"mu, J_L, C2","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"Gent-type, I2 correction",3,recommended_adaptive_bounds,Needs I2-sensitive data such as planar/shear for C2 identification.,Needs I2-sensitive data such as planar/shear for C2 identification.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
21,Gregory,True,Power-law / phenomenological,Gregory,5,"A, B, C, n, m","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"power-law, many parameters",4,recommended_adaptive_bounds,n and m denominators avoid 2 and -2 by bounded parameter ranges.,n and m denominators avoid 2 and -2 by bounded parameter ranges.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
22,Edwards-Vilgis,True,Network / finite extensibility,Edwards-Vilgis simplified,2,"mu, J_L","uniaxial, biaxial, planar","rubber-like elastomer, network elastomer",limiting I1,2,recommended_adaptive_bounds,J_L must stay above maximum I1-3 domain requirement.,J_L must stay above maximum I1-3 domain requirement.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
23,David De-Thomas,True,Power-law / phenomenological,David De-Thomas,4,"A, C, n, k","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"power-law, quadratic correction",3,recommended_adaptive_bounds,Use multi-start optimization due to nonlinearity in n and C.,Use multi-start optimization due to nonlinearity in n and C.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
24,Gent-Thomas,True,Hybrid invariant / Gent-Thomas,Gent-Thomas,2,"C1, C2","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,I1 + log I2,2,recommended_adaptive_bounds,I2 log term benefits from planar/shear or biaxial data.,I2 log term benefits from planar/shear or biaxial data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
25,Yeoh-Fleming,True,Hybrid finite extensibility / Yeoh-Fleming,Yeoh-Fleming,4,"A, B, C10, I_L","uniaxial, biaxial, planar","rubber-like elastomer, filled rubber",exponential + limiting chain,4,recommended_adaptive_bounds,Combine exponential and limiting-chain terms; use wide-strain data.,Combine exponential and limiting-chain terms; use wide-strain data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
26,4 term H. Bechir et al.,True,Principal-stretch / Bechir spectral polynomial,H. Bechir et al. spectral polynomial,4,"C11, C12, C21, C22","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"spectral polynomial, overfit risk",4,recommended_adaptive_bounds,Four coefficients; multi-mode calibration recommended.,Four coefficients; multi-mode calibration recommended.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
27,6 term H. Bechir et al.,True,Principal-stretch / Bechir spectral polynomial,H. Bechir et al. spectral polynomial,6,"C11, C12, C21, C22, C31, C32","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"spectral polynomial, many parameters",5,recommended_adaptive_bounds,Six coefficients; do not use with sparse data.,Six coefficients; do not use with sparse data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
28,3 term Hartmann-Neff,True,Invariant polynomial / Hartmann-Neff family,Hartmann-Neff,3,"alpha, C10, C01","uniaxial, biaxial, planar",rubber-like elastomer,"I1^3, I2^(3/2)",3,recommended_adaptive_bounds,Requires multi-mode data to separate I1 and I2 terms.,Requires multi-mode data to separate I1 and I2 terms.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
29,5 term Hartmann-Neff,True,Invariant polynomial / Hartmann-Neff family,Hartmann-Neff,5,"alpha, C10, C01, C20, C02","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"higher order, I1/I2",4,recommended_adaptive_bounds,Five coefficients; use stability scan after fitting.,Five coefficients; use stability scan after fitting.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
30,7 term Hartmann-Neff,True,Invariant polynomial / Hartmann-Neff family,Hartmann-Neff,7,"alpha, C10, C01, C20, C02, C30, C03","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,"seven terms, overfit risk",5,recommended_adaptive_bounds,Seven-term version needs dense multi-mode data.,Seven-term version needs dense multi-mode data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
31,Modified Yeoh,True,Reduced polynomial / modified Yeoh,Modified Yeoh,5,"C10, C20, C30, alpha, beta","uniaxial, biaxial, planar","filled rubber, rubber-like elastomer",Yeoh + exponential saturation,4,recommended_adaptive_bounds,Modified Yeoh combines polynomial and exponential saturation.,Modified Yeoh combines polynomial and exponential saturation.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
32,Van Der Waals,True,Van der Waals / limiting-chain interaction,Limiting-chain interaction model,4,"mu, lambda_m, a, beta","uniaxial, biaxial, planar, simple_shear","filled rubber, rubber-like elastomer, finite extensibility","large strain, limiting chain stretch, I1/I2 interaction, filled elastomer candidate",4,recommended_adaptive_bounds,,Prefer at least uniaxial + biaxial/planar data over a wide strain range. The beta parameter is weakly identifiable from uniaxial-only data.,Logarithmic singularity as eta approaches 1; the kernel returns a large penalty outside the admissible domain.,row 32 supplied by user image and implemented
33,Fung,True,Exponential / Fung-type,Fung,2,"mu, b","uniaxial, biaxial, planar","soft tissue, rubber-like elastomer",exponential stiffening,2,recommended_adaptive_bounds,Classic exponential stiffening model; monitor overflow and tangent stiffness.,Classic exponential stiffening model; monitor overflow and tangent stiffness.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
34,Horgan-Saccomandi,True,Network / finite extensibility,Horgan-Saccomandi,2,"mu, J_L","uniaxial, biaxial, planar",rubber-like elastomer,"limiting chain, I1/I2 coupled",2,recommended_adaptive_bounds,Requires admissible logarithm argument; domain controlled in stability scan.,Requires admissible logarithm argument; domain controlled in stability scan.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
35,Kilian,True,Network / finite extensibility,Kilian,2,"mu, J_L","uniaxial, biaxial, planar",rubber-like elastomer,limiting I1,2,recommended_adaptive_bounds,Logarithmic finite-extensibility form; J_L must exceed sampled domain.,Logarithmic finite-extensibility form; J_L must exceed sampled domain.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
36,3 parameter Gent,True,Network / finite extensibility with I2 blend,Three-parameter Gent,3,"mu, alpha, I_L","uniaxial, biaxial, planar, simple_shear",rubber-like elastomer,Gent + I2 blend,3,recommended_adaptive_bounds,alpha blends limiting-chain and I2 behavior.,alpha blends limiting-chain and I2 behavior.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
37,Low strain Hoss-Marczak,True,Hybrid / low-strain Hoss-Marczak,Hoss-Marczak,5,"alpha, beta, mu, b, n","uniaxial, biaxial, planar","rubber-like elastomer, filled rubber","low strain, hybrid",5,recommended_adaptive_bounds,Low-strain hybrid; parameters can be correlated.,Low-strain hybrid; parameters can be correlated.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
38,High strain Hoss-Marczak,True,Hybrid / high-strain Hoss-Marczak,Hoss-Marczak,6,"alpha, beta, mu, b, n, C2","uniaxial, biaxial, planar, simple_shear","rubber-like elastomer, filled rubber","high strain, hybrid, I2 correction",5,recommended_adaptive_bounds,High-strain hybrid with I2 correction; requires multi-mode data.,High-strain hybrid with I2 correction; requires multi-mode data.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
39,Improved Hart-Smith,True,Exponential / improved Hart-Smith,Improved Hart-Smith,4,"C1, C2, C3, n","uniaxial, biaxial, planar","soft tissue, rubber-like elastomer","exponential power, I2 log",4,recommended_adaptive_bounds,n controls exponential power; use bounded global-local fitting.,n controls exponential power; use bounded global-local fitting.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
40,Takamizawa-Hayashi,True,Network / finite extensibility,Takamizawa-Hayashi,2,"c, J_L","uniaxial, biaxial, planar","soft tissue, rubber-like elastomer",limiting I1,2,recommended_adaptive_bounds,J_L must be large enough to keep log argument positive.,J_L must be large enough to keep log argument positive.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
41,Yamashita-Kawabata,True,Reduced polynomial / power-law,Yamashita-Kawabata,3,"C10, C3, N","uniaxial, biaxial, planar","rubber-like elastomer, filled rubber","power law, reduced polynomial",3,recommended_adaptive_bounds,N controls nonlinear order; multi-start recommended.,N controls nonlinear order; multi-start recommended.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
42,Amin,True,Reduced polynomial / power-law,Amin,5,"C10, C3, N, C4, M","uniaxial, biaxial, planar, simple_shear","rubber-like elastomer, filled rubber",two power-law terms,4,recommended_adaptive_bounds,M and N can be correlated; use adaptive bounds and model comparison.,M and N can be correlated; use adaptive bounds and model comparison.,Validate extrapolation with the stability scan and independent test modes before FEA use.,digitized from user supplied hyperelastic model table; metadata reviewed
